time,operator,signal face,operand,permissive_delay,count,interval
200.000,pedestrian,psw,pswpse,1,10,10
201.000,pedestrian,pnw,pnwpne,1,10,10
202.000,pedestrian,pse,psepsw,1,10,10
203.000,pedestrian,pne,pnepnw,1,10,10
200.001,car,B,A1,1,10,4
201.001,car,B,A2,1,10,4
202.001,car,B,A6,1,10,4
203.001,car,B,B5,1,10,4
204.001,car,C,C3,1,10,2
205.001,car,C,C4,1,10,2
206.001,car,D,D1,1,10,6
207.001,car,D,D2,1,10,6
208.001,car,D,D3,1,10,6
209.001,car,D,D4,3,15,6
210.001,car,D,D5,1,10,6
211.001,car,D,D6,1,10,6
212.001,car,E,E3,1,10,4
213.001,car,E,E4,1,10,4
214.001,car,E,E5,1,10,4
215.001,car,F,F2,1,10,4
216.001,car,G,G1,1,10,2
217.001,car,G,G6,1,10,2
218.001,car,H,H3,1,10,6
219.001,car,H,H4,1,10,6
220.001,car,H,H5,1,10,6
221.001,car,H,H6,1,10,6
222.001,car,H,J1,1,10,6
223.001,car,H,J2,1,10,6
260.000,sensor on,all,Preempt,1,1,1
280.000,sensor off,all,Preempt,1,1,1
